symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-03-03,112.98,114.90,106.13,110.22,-2.76,-2.44,6028084
APOLLO.NS,2025-03-04,107.81,113.59,107.17,111.74,3.93,3.65,5176377
APOLLO.NS,2025-03-05,112.50,114.55,112.28,113.13,0.63,0.56,4695815
APOLLO.NS,2025-03-06,114.80,115.29,112.32,113.84,-0.96,-0.84,4245107
APOLLO.NS,2025-03-07,114.50,122.20,113.28,121.37,6.87,6.00,9441546
APOLLO.NS,2025-03-10,121.47,123.41,115.02,116.90,-4.57,-3.76,6699973
APOLLO.NS,2025-03-11,114.91,116.08,113.11,115.43,0.52,0.45,3479556
APOLLO.NS,2025-03-12,115.90,116.80,111.43,112.41,-3.49,-3.01,4504256
APOLLO.NS,2025-03-13,113.45,116.50,111.70,112.75,-0.70,-0.62,4532977
APOLLO.NS,2025-03-17,113.90,117.91,112.84,113.84,-0.06,-0.05,5081323
APOLLO.NS,2025-03-18,113.84,113.84,113.84,113.84,0.00,0.00,0
APOLLO.NS,2025-03-19,118.40,121.59,118.00,118.49,0.09,0.08,7137879
APOLLO.NS,2025-03-20,119.43,120.50,115.50,118.00,-1.43,-1.20,5845075
APOLLO.NS,2025-03-21,118.94,128.05,118.16,125.18,6.24,5.25,17199694
APOLLO.NS,2025-03-24,127.00,129.80,124.49,125.41,-1.59,-1.25,10707139
APOLLO.NS,2025-03-25,126.21,126.30,118.20,119.53,-6.68,-5.29,7802410
APOLLO.NS,2025-03-26,119.50,124.50,118.35,122.94,3.44,2.88,8959496
APOLLO.NS,2025-03-27,122.50,125.60,120.48,123.95,1.45,1.18,9659084
APOLLO.NS,2025-03-28,124.75,128.20,121.61,122.72,-2.03,-1.63,8707808
ASIANPAINT.NS,2025-03-03,2159.82,2173.30,2109.54,2146.59,-13.23,-0.61,959068
ASIANPAINT.NS,2025-03-04,2134.36,2140.10,2105.33,2112.61,-21.75,-1.02,2180989
ASIANPAINT.NS,2025-03-05,2112.51,2162.85,2105.33,2144.37,31.86,1.51,1535212
ASIANPAINT.NS,2025-03-06,2169.83,2254.20,2163.14,2246.97,77.14,3.56,1985096
ASIANPAINT.NS,2025-03-07,2246.97,2257.13,2227.45,2249.25,2.28,0.10,921429
ASIANPAINT.NS,2025-03-10,2249.25,2272.04,2241.17,2257.77,8.52,0.38,1072395
ASIANPAINT.NS,2025-03-11,2253.21,2269.96,2237.26,2266.49,13.28,0.59,601228
ASIANPAINT.NS,2025-03-12,2266.49,2274.96,2226.46,2230.72,-35.77,-1.58,749216
ASIANPAINT.NS,2025-03-13,2234.63,2236.56,2202.18,2210.90,-23.73,-1.06,747470
ASIANPAINT.NS,2025-03-17,2184.84,2218.78,2175.97,2199.26,14.42,0.66,838015
ASIANPAINT.NS,2025-03-18,2199.26,2199.26,2199.26,2199.26,0.00,0.00,0
ASIANPAINT.NS,2025-03-19,2253.21,2267.03,2247.12,2259.85,6.64,0.29,663292
ASIANPAINT.NS,2025-03-20,2269.07,2285.91,2248.01,2266.29,-2.77,-0.12,1166849
ASIANPAINT.NS,2025-03-21,2270.70,2293.34,2257.03,2279.37,8.67,0.38,1624115
ASIANPAINT.NS,2025-03-24,2281.35,2308.95,2281.05,2301.27,19.92,0.87,1100353
ASIANPAINT.NS,2025-03-25,2303.75,2323.07,2286.90,2309.44,5.70,0.25,1828005
ASIANPAINT.NS,2025-03-26,2318.61,2319.55,2282.94,2301.91,-16.70,-0.72,1934287
ASIANPAINT.NS,2025-03-27,2293.84,2328.62,2269.56,2316.73,22.89,1.00,1497861
ASIANPAINT.NS,2025-03-28,2322.52,2342.39,2303.75,2319.25,-3.27,-0.14,1281871
BCLIND.NS,2025-03-03,36.22,36.69,34.59,35.13,-1.09,-3.01,1107867
BCLIND.NS,2025-03-04,35.00,37.69,34.86,36.99,1.99,5.69,1150189
BCLIND.NS,2025-03-05,37.48,39.09,37.19,38.79,1.31,3.50,971512
BCLIND.NS,2025-03-06,39.90,40.31,39.10,39.86,-0.04,-0.10,1358904
BCLIND.NS,2025-03-07,40.70,41.77,40.10,40.53,-0.17,-0.42,1372504
BCLIND.NS,2025-03-10,40.06,40.82,38.60,38.92,-1.14,-2.85,918979
BCLIND.NS,2025-03-11,35.76,39.35,35.76,38.13,2.37,6.63,1223082
BCLIND.NS,2025-03-12,38.21,38.50,37.62,37.88,-0.33,-0.86,1197907
BCLIND.NS,2025-03-13,38.10,38.24,37.31,37.63,-0.47,-1.23,814236
BCLIND.NS,2025-03-17,37.89,37.90,36.00,36.12,-1.77,-4.67,984784
