symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-04-01,123.00,124.80,119.33,119.72,-3.28,-2.67,5917710
APOLLO.NS,2025-04-02,120.49,125.48,118.30,124.72,4.23,3.51,7137511
APOLLO.NS,2025-04-03,122.25,125.25,121.62,123.16,0.91,0.74,4152844
APOLLO.NS,2025-04-04,122.75,123.49,115.10,116.74,-6.01,-4.90,4599614
APOLLO.NS,2025-04-07,108.99,110.99,105.30,108.15,-0.84,-0.77,7149355
APOLLO.NS,2025-04-08,113.02,114.75,111.31,113.37,0.35,0.31,4535689
APOLLO.NS,2025-04-09,112.00,113.50,110.49,111.56,-0.44,-0.39,2388897
APOLLO.NS,2025-04-11,115.00,115.53,112.30,112.67,-2.33,-2.03,3038273
APOLLO.NS,2025-04-15,115.00,119.22,114.50,117.86,2.86,2.49,4984414
APOLLO.NS,2025-04-16,119.90,122.00,118.22,118.71,-1.19,-0.99,6647217
APOLLO.NS,2025-04-17,118.71,120.30,117.10,119.74,1.03,0.87,7313464
APOLLO.NS,2025-04-21,120.00,121.99,118.70,120.42,0.42,0.35,5271380
APOLLO.NS,2025-04-22,121.00,122.64,117.79,118.51,-2.49,-2.06,4966788
APOLLO.NS,2025-04-23,119.40,120.30,116.34,117.88,-1.52,-1.27,3745058
APOLLO.NS,2025-04-24,117.73,119.19,115.57,116.40,-1.33,-1.13,2807219
APOLLO.NS,2025-04-25,116.64,116.84,110.80,111.74,-4.90,-4.20,4803740
APOLLO.NS,2025-04-28,111.99,116.00,110.37,114.67,2.68,2.39,5133819
APOLLO.NS,2025-04-29,115.20,122.37,114.21,120.71,5.51,4.78,14826244
APOLLO.NS,2025-04-30,121.30,121.84,114.80,117.77,-3.53,-2.91,8311369
ASIANPAINT.NS,2025-04-01,2320.59,2340.11,2284.67,2294.83,-25.76,-1.11,970583
ASIANPAINT.NS,2025-04-02,2306.72,2307.11,2271.20,2285.56,-21.15,-0.92,792693
ASIANPAINT.NS,2025-04-03,2274.02,2333.37,2268.87,2327.92,53.90,2.37,608846
ASIANPAINT.NS,2025-04-04,2327.92,2342.34,2281.75,2334.51,6.59,0.28,1163188
ASIANPAINT.NS,2025-04-07,2169.98,2332.48,2169.98,2319.95,149.97,6.91,1745817
ASIANPAINT.NS,2025-04-08,2334.46,2397.88,2334.46,2372.31,37.85,1.62,1876867
ASIANPAINT.NS,2025-04-09,2378.06,2407.24,2369.04,2389.11,11.05,0.46,1186937
ASIANPAINT.NS,2025-04-11,2417.20,2425.62,2358.49,2371.72,-45.48,-1.88,968152
