symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-01-01,117.50,123.98,116.71,120.68,3.18,2.71,20407186
APOLLO.NS,2025-01-02,121.79,124.97,118.16,123.96,2.17,1.78,15355943
APOLLO.NS,2025-01-03,124.86,139.70,122.35,138.25,13.39,10.72,37748697
APOLLO.NS,2025-01-06,139.55,141.00,127.11,128.59,-10.96,-7.85,15866500
APOLLO.NS,2025-01-07,128.00,138.44,127.50,135.65,7.65,5.98,14432343
APOLLO.NS,2025-01-08,136.98,139.94,130.20,133.55,-3.43,-2.50,8026047
APOLLO.NS,2025-01-09,133.74,134.39,128.02,129.44,-4.30,-3.22,4875192
APOLLO.NS,2025-01-10,128.71,128.71,118.30,119.35,-9.36,-7.27,7965769
APOLLO.NS,2025-01-13,119.00,129.49,117.30,121.18,2.18,1.83,11596696
APOLLO.NS,2025-01-14,124.94,129.90,122.01,128.96,4.02,3.22,8702294
APOLLO.NS,2025-01-15,130.39,131.40,124.50,126.57,-3.82,-2.93,6147589
APOLLO.NS,2025-01-16,128.50,133.50,127.00,127.91,-0.59,-0.46,5483081
APOLLO.NS,2025-01-17,128.77,134.90,126.71,131.38,2.61,2.03,8155643
APOLLO.NS,2025-01-20,131.50,155.44,128.16,151.28,19.78,15.04,35413009
APOLLO.NS,2025-01-21,151.20,157.00,142.11,144.27,-6.93,-4.58,21772584
APOLLO.NS,2025-01-22,145.85,145.85,133.55,139.60,-6.25,-4.29,10491087
APOLLO.NS,2025-01-23,137.50,145.70,137.10,140.28,2.78,2.02,8881717
APOLLO.NS,2025-01-24,140.11,140.80,130.15,130.71,-9.40,-6.71,5967535
APOLLO.NS,2025-01-27,128.70,128.99,121.06,123.66,-5.04,-3.92,6271961
APOLLO.NS,2025-01-28,125.00,127.44,112.30,118.93,-6.07,-4.86,9575209
APOLLO.NS,2025-01-29,120.59,126.70,120.59,124.53,3.94,3.27,5360881
APOLLO.NS,2025-01-30,127.95,137.70,127.40,130.59,2.64,2.06,14610727
APOLLO.NS,2025-01-31,132.15,139.50,128.82,137.67,5.52,4.18,8396750
ASIANPAINT.NS,2025-01-01,2259.16,2301.96,2259.16,2283.58,24.42,1.08,1067328
ASIANPAINT.NS,2025-01-02,2292.85,2326.49,2273.03,2321.83,28.98,1.26,1342922
ASIANPAINT.NS,2025-01-03,2322.57,2327.48,2300.92,2314.59,-7.98,-0.34,1355319
ASIANPAINT.NS,2025-01-06,2314.59,2318.61,2236.07,2246.42,-68.17,-2.95,1190987
ASIANPAINT.NS,2025-01-07,2251.23,2294.83,2251.23,2271.64,20.41,0.91,740798
ASIANPAINT.NS,2025-01-08,2266.14,2316.63,2251.92,2313.01,46.87,2.07,1439632
ASIANPAINT.NS,2025-01-09,2320.49,2339.81,2300.08,2328.71,8.22,0.35,1362304
ASIANPAINT.NS,2025-01-10,2314.25,2327.43,2294.83,2299.53,-14.71,-0.64,1214334
ASIANPAINT.NS,2025-01-13,2270.80,2280.86,2225.86,2232.06,-38.74,-1.71,1181928
ASIANPAINT.NS,2025-01-14,2248.26,2265.45,2216.55,2219.47,-28.78,-1.28,1316807
ASIANPAINT.NS,2025-01-15,2228.44,2233.15,2199.71,2209.32,-19.12,-0.86,1308999
ASIANPAINT.NS,2025-01-16,2218.53,2219.37,2187.62,2195.35,-23.19,-1.05,1936087
ASIANPAINT.NS,2025-01-17,2205.30,2248.31,2192.27,2240.33,35.03,1.59,878848
ASIANPAINT.NS,2025-01-20,2251.48,2265.99,2230.42,2259.70,8.22,0.37,555716
ASIANPAINT.NS,2025-01-21,2259.70,2293.84,2234.39,2239.69,-20.02,-0.89,1410294
ASIANPAINT.NS,2025-01-22,2249.25,2249.25,2224.38,2241.42,-7.83,-0.35,835523
ASIANPAINT.NS,2025-01-23,2241.42,2280.76,2225.67,2255.54,14.12,0.63,1142465
ASIANPAINT.NS,2025-01-24,2262.13,2275.56,2234.43,2241.72,-20.41,-0.90,543202
ASIANPAINT.NS,2025-01-27,2234.68,2256.93,2225.67,2230.92,-3.77,-0.17,1097939
ASIANPAINT.NS,2025-01-28,2239.34,2246.33,2213.68,2221.31,-18.03,-0.81,897501
ASIANPAINT.NS,2025-01-29,2221.31,2226.26,2191.83,2202.83,-18.48,-0.83,1281088
ASIANPAINT.NS,2025-01-30,2202.83,2238.60,2194.75,2229.28,26.46,1.20,1155718
ASIANPAINT.NS,2025-01-31,2234.39,2283.93,2214.42,2279.77,45.38,2.03,1292909
BCLIND.NS,2025-01-01,50.60,51.70,50.52,51.29,0.69,1.36,539910
BCLIND.NS,2025-01-02,51.50,51.74,50.31,50.59,-0.91,-1.77,1073576
BCLIND.NS,2025-01-03,50.80,51.66,50.47,50.63,-0.17,-0.33,614964
BCLIND.NS,2025-01-06,50.62,50.85,47.38,47.61,-3.01,-5.95,1610066
BCLIND.NS,2025-01-07,48.10,49.50,47.01,49.27,1.17,2.43,833357
BCLIND.NS,2025-01-08,49.49,49.49,47.92,48.34,-1.15,-2.32,623739
BCLIND.NS,2025-01-09,48.06,49.07,47.30,47.58,-0.48,-1.00,520186
BCLIND.NS,2025-01-10,47.50,47.76,46.00,46.68,-0.82,-1.73,690456
BCLIND.NS,2025-01-13,46.41,47.13,44.21,44.66,-1.75,-3.77,1516755
BCLIND.NS,2025-01-14,44.70,47.50,44.70,46.96,2.26,5.06,694068
BCLIND.NS,2025-01-15,47.25,47.88,45.94,46.24,-1.01,-2.14,512590
BCLIND.NS,2025-01-16,47.40,49.64,46.82,49.23,1.83,3.86,1451612
BCLIND.NS,2025-01-17,48.60,50.75,48.60,49.83,1.23,2.53,797114
BCLIND.NS,2025-01-20,50.50,52.01,50.50,51.53,1.03,2.04,1759301
BCLIND.NS,2025-01-21,51.69,51.88,49.72,50.07,-1.62,-3.13,577456
BCLIND.NS,2025-01-22,50.00,50.00,46.93,47.80,-2.20,-4.40,1085577
BCLIND.NS,2025-01-23,47.50,48.44,47.40,47.69,0.19,0.40,386077
BCLIND.NS,2025-01-24,47.76,48.25,46.50,46.73,-1.03,-2.16,518888
BCLIND.NS,2025-01-27,45.81,46.73,44.51,45.39,-0.42,-0.92,984294
BCLIND.NS,2025-01-28,45.11,47.47,43.12,43.83,-1.28,-2.84,1356295
BCLIND.NS,2025-01-29,44.21,46.01,44.21,45.49,1.28,2.90,970765
BCLIND.NS,2025-01-30,46.00,46.00,44.90,45.10,-0.90,-1.96,414271
BCLIND.NS,2025-01-31,45.48,47.01,45.11,46.82,1.34,2.95,619409
BERGEPAINT.NS,2025-01-01,448.00,459.70,446.90,458.15,10.15,2.27,811891
BERGEPAINT.NS,2025-01-02,459.00,460.60,451.60,457.40,-1.60,-0.35,709043
BERGEPAINT.NS,2025-01-03,457.40,461.00,456.00,457.85,0.45,0.10,498090
BERGEPAINT.NS,2025-01-06,457.85,459.10,442.65,447.60,-10.25,-2.24,968101
BERGEPAINT.NS,2025-01-07,447.15,452.70,447.15,451.25,4.10,0.92,376952
BERGEPAINT.NS,2025-01-08,452.00,463.60,449.10,461.95,9.95,2.20,1411033
BERGEPAINT.NS,2025-01-09,462.00,472.40,461.50,468.75,6.75,1.46,1600589
BERGEPAINT.NS,2025-01-10,467.00,467.80,458.60,460.85,-6.15,-1.32,472058
BERGEPAINT.NS,2025-01-13,454.85,461.65,449.05,451.40,-3.45,-0.76,1046468
BERGEPAINT.NS,2025-01-14,451.50,465.00,451.50,462.45,10.95,2.43,928304
BERGEPAINT.NS,2025-01-15,465.85,466.55,460.95,464.40,-1.45,-0.31,360555
BERGEPAINT.NS,2025-01-16,468.15,468.20,461.00,464.80,-3.35,-0.72,459527
BERGEPAINT.NS,2025-01-17,463.00,471.10,462.45,468.80,5.80,1.25,418850
BERGEPAINT.NS,2025-01-20,470.00,472.30,465.15,468.50,-1.50,-0.32,283815
BERGEPAINT.NS,2025-01-21,468.50,478.90,468.20,475.20,6.70,1.43,2398969
BERGEPAINT.NS,2025-01-22,475.20,477.85,469.65,476.05,0.85,0.18,872456
BERGEPAINT.NS,2025-01-23,476.00,485.45,472.00,480.35,4.35,0.91,1399938
BERGEPAINT.NS,2025-01-24,480.35,485.25,478.00,480.10,-0.25,-0.05,540500
BERGEPAINT.NS,2025-01-27,477.65,485.35,475.15,480.00,2.35,0.49,1695755
BERGEPAINT.NS,2025-01-28,478.20,480.90,468.25,472.75,-5.45,-1.14,1084524
BERGEPAINT.NS,2025-01-29,472.75,473.65,457.65,458.80,-13.95,-2.95,1610261
BERGEPAINT.NS,2025-01-30,460.05,478.75,460.05,475.85,15.80,3.43,1080143
BERGEPAINT.NS,2025-01-31,475.00,477.20,469.05,472.75,-2.25,-0.47,514076
BHARTIARTL.NS,2025-01-01,1579.79,1593.23,1570.92,1582.47,2.68,0.17,1405565
BHARTIARTL.NS,2025-01-02,1586.64,1606.17,1575.23,1596.35,9.72,0.61,3728040
BHARTIARTL.NS,2025-01-03,1601.61,1603.59,1580.09,1585.59,-16.02,-1.00,3669685
BHARTIARTL.NS,2025-01-06,1582.92,1596.50,1554.11,1575.28,-7.64,-0.48,4584188
BHARTIARTL.NS,2025-01-07,1580.78,1589.71,1570.92,1577.66,-3.12,-0.20,2830856
BHARTIARTL.NS,2025-01-08,1585.50,1600.07,1564.77,1585.94,0.45,0.03,3674564
BHARTIARTL.NS,2025-01-09,1586.74,1606.77,1579.20,1593.73,6.99,0.44,4684859
BHARTIARTL.NS,2025-01-10,1594.67,1611.53,1578.60,1602.50,7.83,0.49,4145892
BHARTIARTL.NS,2025-01-13,1566.90,1601.31,1565.02,1583.96,17.06,1.09,3705039
BHARTIARTL.NS,2025-01-14,1591.40,1619.86,1565.41,1586.83,-4.56,-0.29,7284572
BHARTIARTL.NS,2025-01-15,1594.72,1600.47,1579.79,1594.12,-0.60,-0.04,2960985
BHARTIARTL.NS,2025-01-16,1605.63,1621.44,1587.28,1616.68,11.06,0.69,5299325
BHARTIARTL.NS,2025-01-17,1616.59,1625.41,1609.54,1614.01,-2.58,-0.16,2678801
BHARTIARTL.NS,2025-01-20,1624.42,1631.36,1604.68,1627.54,3.12,0.19,3933044
BHARTIARTL.NS,2025-01-21,1640.29,1642.96,1606.87,1612.67,-27.62,-1.68,7958844
BHARTIARTL.NS,2025-01-22,1614.01,1627.40,1609.10,1618.22,4.21,0.26,3262136
BHARTIARTL.NS,2025-01-23,1611.03,1631.76,1603.79,1622.44,11.40,0.71,2457080
BHARTIARTL.NS,2025-01-24,1620.50,1648.12,1620.50,1631.16,10.66,0.66,3620058
BHARTIARTL.NS,2025-01-27,1625.36,1633.54,1580.49,1589.31,-36.05,-2.22,6622807
BHARTIARTL.NS,2025-01-28,1594.32,1616.78,1583.76,1604.93,10.61,0.67,5216471
BHARTIARTL.NS,2025-01-29,1606.57,1613.41,1579.94,1587.18,-19.39,-1.21,5009227
BHARTIARTL.NS,2025-01-30,1593.38,1631.31,1581.97,1627.15,33.77,2.12,4283637
BHARTIARTL.NS,2025-01-31,1625.51,1625.51,1561.20,1612.82,-12.69,-0.78,8340866
CANBK.NS,2025-01-01,97.07,97.38,95.82,96.91,-0.16,-0.17,9259122
CANBK.NS,2025-01-02,96.91,97.82,95.96,97.60,0.70,0.72,15233832
CANBK.NS,2025-01-03,98.00,99.57,97.66,97.94,-0.06,-0.06,19285506
CANBK.NS,2025-01-06,97.94,98.25,93.56,93.96,-3.98,-4.06,28855272
CANBK.NS,2025-01-07,94.23,95.58,93.86,94.48,0.25,0.27,13157181
