symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-05-02,116.81,120.10,115.40,117.04,0.23,0.20,5757219
APOLLO.NS,2025-05-05,120.00,125.75,119.11,124.93,4.93,4.11,22467624
APOLLO.NS,2025-05-06,125.00,127.03,117.25,118.58,-6.42,-5.14,14303862
APOLLO.NS,2025-05-07,112.60,120.00,112.60,117.91,5.31,4.72,9929915
APOLLO.NS,2025-05-08,118.90,123.50,115.00,116.60,-2.30,-1.93,9882174
APOLLO.NS,2025-05-09,114.30,137.12,114.30,130.31,16.01,14.01,49995905
APOLLO.NS,2025-05-12,134.00,134.69,126.22,127.72,-6.28,-4.69,16331506
APOLLO.NS,2025-05-13,127.72,135.20,127.01,133.12,5.40,4.23,17701421
APOLLO.NS,2025-05-14,134.76,135.70,129.30,131.01,-3.75,-2.78,18109247
APOLLO.NS,2025-05-15,131.69,141.00,130.73,136.41,4.72,3.58,25254237
APOLLO.NS,2025-05-16,137.00,142.20,135.49,140.39,3.39,2.47,18550667
APOLLO.NS,2025-05-19,141.90,144.50,138.61,140.27,-1.63,-1.15,12398311
APOLLO.NS,2025-05-20,141.50,142.25,133.92,135.00,-6.50,-4.59,10857179
APOLLO.NS,2025-05-21,135.00,148.34,133.31,145.92,10.92,8.09,30334459
APOLLO.NS,2025-05-22,146.00,151.50,145.49,150.65,4.65,3.18,24386427
APOLLO.NS,2025-05-23,150.65,151.78,135.50,139.31,-11.34,-7.53,24533382
APOLLO.NS,2025-05-26,140.00,141.50,136.50,138.81,-1.19,-0.85,16073531
APOLLO.NS,2025-05-27,140.40,159.74,140.10,155.81,15.41,10.98,57651829
APOLLO.NS,2025-05-28,157.00,183.40,155.55,177.31,20.31,12.94,80568964
APOLLO.NS,2025-05-29,183.00,193.74,180.57,188.77,5.77,3.15,63684860
APOLLO.NS,2025-05-30,189.58,194.00,185.00,188.92,-0.66,-0.35,23600950
ASIANPAINT.NS,2025-05-02,2402.83,2422.55,2376.08,2387.97,-14.86,-0.62,744673
ASIANPAINT.NS,2025-05-05,2400.95,2452.37,2400.95,2414.62,13.67,0.57,1229588
ASIANPAINT.NS,2025-05-06,2419.68,2427.50,2369.24,2395.90,-23.78,-0.98,702802
ASIANPAINT.NS,2025-05-07,2366.17,2383.71,2297.30,2312.76,-53.41,-2.26,1711738
ASIANPAINT.NS,2025-05-08,2300.77,2327.62,2272.53,2281.55,-19.22,-0.84,2292261
ASIANPAINT.NS,2025-05-09,2226.06,2310.48,2224.48,2278.58,52.52,2.36,1503010
ASIANPAINT.NS,2025-05-12,2308.70,2356.76,2299.78,2334.86,26.16,1.13,940135
ASIANPAINT.NS,2025-05-13,2332.48,2336.44,2293.94,2303.35,-29.13,-1.25,1220489
ASIANPAINT.NS,2025-05-14,2297.80,2297.80,2256.28,2261.44,-36.36,-1.58,1549845
ASIANPAINT.NS,2025-05-15,2264.11,2314.15,2247.27,2308.60,44.49,1.96,1675015
ASIANPAINT.NS,2025-05-16,2312.56,2333.47,2293.84,2332.08,19.52,0.84,785113
ASIANPAINT.NS,2025-05-19,2332.08,2357.15,2305.33,2310.09,-22.00,-0.94,552961
ASIANPAINT.NS,2025-05-20,2326.04,2326.24,2270.45,2274.61,-51.43,-2.21,1095824
ASIANPAINT.NS,2025-05-21,2275.01,2295.03,2269.07,2291.26,16.25,0.71,469330
ASIANPAINT.NS,2025-05-22,2288.09,2288.88,2262.23,2278.18,-9.91,-0.43,916504
ASIANPAINT.NS,2025-05-23,2280.76,2307.71,2274.02,2294.33,13.57,0.60,458035
ASIANPAINT.NS,2025-05-26,2294.83,2316.63,2281.75,2305.93,11.10,0.48,1258062
ASIANPAINT.NS,2025-05-27,2291.95,2330.10,2280.06,2306.32,14.37,0.63,2485428
ASIANPAINT.NS,2025-05-28,2306.32,2311.67,2279.27,2282.14,-24.18,-1.05,774808
ASIANPAINT.NS,2025-05-29,2282.14,2287.89,2265.60,2273.33,-8.82,-0.39,1414643
ASIANPAINT.NS,2025-05-30,2275.51,2282.94,2234.39,2238.45,-37.06,-1.63,3610431
BCLIND.NS,2025-05-02,37.46,37.96,37.01,37.07,-0.39,-1.04,280000
BCLIND.NS,2025-05-05,37.50,38.24,37.11,37.97,0.47,1.25,344100
BCLIND.NS,2025-05-06,37.40,38.00,37.00,37.12,-0.28,-0.75,647647
BCLIND.NS,2025-05-07,36.70,37.50,36.50,37.05,0.35,0.95,574224
BCLIND.NS,2025-05-08,37.09,37.75,36.25,36.55,-0.54,-1.46,269244
BCLIND.NS,2025-05-09,35.90,36.92,35.41,36.66,0.76,2.12,396375
BCLIND.NS,2025-05-12,37.48,38.75,37.48,38.67,1.19,3.18,537366
BCLIND.NS,2025-05-13,38.99,39.29,38.00,38.83,-0.16,-0.41,483227
BCLIND.NS,2025-05-14,39.00,40.00,38.55,39.78,0.78,2.00,725581
BCLIND.NS,2025-05-15,40.18,42.30,39.80,41.30,1.12,2.79,1370482
BCLIND.NS,2025-05-16,41.30,41.88,39.75,39.97,-1.33,-3.22,1666736
BCLIND.NS,2025-05-19,40.07,41.13,39.81,40.11,0.04,0.10,1140286
BCLIND.NS,2025-05-20,40.11,40.39,38.85,39.05,-1.06,-2.64,771072
BCLIND.NS,2025-05-21,39.09,39.78,38.77,39.42,0.33,0.84,617608
BCLIND.NS,2025-05-22,39.20,40.06,39.20,39.78,0.58,1.48,421222
BCLIND.NS,2025-05-23,39.89,40.35,39.50,39.87,-0.02,-0.05,702787
BCLIND.NS,2025-05-26,40.09,40.75,39.81,40.37,0.28,0.70,591265
BCLIND.NS,2025-05-27,40.37,40.75,39.83,40.55,0.18,0.45,485520
BCLIND.NS,2025-05-28,40.55,41.45,40.36,41.13,0.58,1.43,691595
BCLIND.NS,2025-05-29,41.30,41.67,38.71,39.17,-2.13,-5.16,1853197
BCLIND.NS,2025-05-30,40.00,42.30,39.90,41.62,1.62,4.05,3650760
BERGEPAINT.NS,2025-05-02,542.00,555.80,542.00,549.55,7.55,1.39,752427
BERGEPAINT.NS,2025-05-05,549.00,559.95,548.70,554.10,5.10,0.93,524699
BERGEPAINT.NS,2025-05-06,554.00,556.90,539.50,543.25,-10.75,-1.94,414976
BERGEPAINT.NS,2025-05-07,534.00,551.85,532.85,541.35,7.35,1.38,506567
BERGEPAINT.NS,2025-05-08,541.35,549.10,534.90,538.15,-3.20,-0.59,323162
BERGEPAINT.NS,2025-05-09,526.10,539.50,525.10,536.60,10.50,2.00,629649
BERGEPAINT.NS,2025-05-12,545.50,550.50,538.20,540.95,-4.55,-0.83,221784
BERGEPAINT.NS,2025-05-13,545.30,547.00,538.20,542.90,-2.40,-0.44,377262
BERGEPAINT.NS,2025-05-14,543.00,565.20,536.00,552.95,9.95,1.83,1636176
BERGEPAINT.NS,2025-05-15,562.00,579.80,557.75,572.25,10.25,1.82,1544103
BERGEPAINT.NS,2025-05-16,573.95,577.00,566.00,576.10,2.15,0.37,465204
BERGEPAINT.NS,2025-05-19,573.10,580.00,561.00,563.35,-9.75,-1.70,461194
BERGEPAINT.NS,2025-05-20,566.90,566.90,544.60,557.10,-9.80,-1.73,548630
BERGEPAINT.NS,2025-05-21,557.00,557.60,546.00,548.60,-8.40,-1.51,218376
BERGEPAINT.NS,2025-05-22,551.25,571.00,546.70,566.40,15.15,2.75,592152
BERGEPAINT.NS,2025-05-23,566.50,566.55,553.70,554.90,-11.60,-2.05,308738
