symbol,date,open,high,low,close,day_change,day_change_pct,volume
SAIL.NS,2025-07-21,137.00,138.75,135.89,136.94,-0.06,-0.04,10205739
SAIL.NS,2025-07-22,136.99,138.71,135.50,135.99,-1.00,-0.73,13371025
SAIL.NS,2025-07-23,136.60,136.60,133.90,134.79,-1.81,-1.33,8607725
SAIL.NS,2025-07-24,134.80,137.20,134.78,136.17,1.37,1.02,9764563
SAIL.NS,2025-07-25,135.88,135.93,130.08,130.67,-5.21,-3.83,15803965
SAIL.NS,2025-07-28,128.60,128.61,124.13,125.59,-3.01,-2.34,34768336
SAIL.NS,2025-07-29,124.99,126.75,123.30,126.01,1.02,0.82,14642340
SAIL.NS,2025-07-30,126.00,126.58,123.87,124.16,-1.84,-1.46,8402184
SAIL.NS,2025-07-31,123.00,124.65,122.52,124.20,1.20,0.98,12642019
TATACOMM.NS,2025-07-01,1686.60,1756.00,1684.10,1725.80,39.20,2.32,250794
TATACOMM.NS,2025-07-02,1791.00,1818.70,1747.10,1807.50,16.50,0.92,3532942
TATACOMM.NS,2025-07-03,1802.00,1807.50,1766.60,1778.00,-24.00,-1.33,1210447
TATACOMM.NS,2025-07-04,1778.00,1791.40,1754.40,1762.40,-15.60,-0.88,696115
TATACOMM.NS,2025-07-07,1757.10,1777.50,1755.00,1768.30,11.20,0.64,256506
TATACOMM.NS,2025-07-08,1760.30,1768.10,1745.20,1763.50,3.20,0.18,249301
TATACOMM.NS,2025-07-09,1761.10,1771.80,1743.40,1761.20,0.10,0.01,257462
TATACOMM.NS,2025-07-10,1761.20,1769.50,1744.50,1753.40,-7.80,-0.44,269342
TATACOMM.NS,2025-07-11,1753.40,1766.00,1698.10,1711.80,-41.60,-2.37,873701
TATACOMM.NS,2025-07-14,1718.00,1719.00,1700.10,1713.40,-4.60,-0.27,519669
TATACOMM.NS,2025-07-15,1715.10,1732.40,1710.00,1728.70,13.60,0.79,148444
TATACOMM.NS,2025-07-16,1733.70,1742.30,1718.10,1724.10,-9.60,-0.55,172293
TATACOMM.NS,2025-07-17,1731.00,1737.90,1705.00,1731.60,0.60,0.03,209083
TATACOMM.NS,2025-07-18,1700.30,1813.10,1700.30,1763.80,63.50,3.73,3463462
TATACOMM.NS,2025-07-21,1763.70,1804.40,1741.10,1771.20,7.50,0.43,650988
TATACOMM.NS,2025-07-22,1773.90,1777.90,1730.20,1736.70,-37.20,-2.10,456869
TATACOMM.NS,2025-07-23,1734.70,1752.10,1715.60,1741.60,6.90,0.40,278934
TATACOMM.NS,2025-07-24,1740.00,1740.00,1713.00,1728.50,-11.50,-0.66,166058
TATACOMM.NS,2025-07-25,1724.80,1740.90,1702.50,1728.80,4.00,0.23,376869
TATACOMM.NS,2025-07-28,1720.00,1746.60,1697.00,1724.60,4.60,0.27,497095
TATACOMM.NS,2025-07-29,1718.10,1757.30,1715.90,1729.40,11.30,0.66,442463
TATACOMM.NS,2025-07-30,1729.90,1765.00,1726.50,1758.60,28.70,1.66,385517
TATACOMM.NS,2025-07-31,1766.00,1782.90,1701.30,1724.70,-41.30,-2.34,621373
TATAMOTORS.NS,2025-07-01,691.10,693.85,680.40,683.80,-7.30,-1.06,6866073
TATAMOTORS.NS,2025-07-02,683.80,692.45,680.65,688.55,4.75,0.69,8034013
TATAMOTORS.NS,2025-07-03,693.85,696.95,688.50,690.40,-3.45,-0.50,9668110
TATAMOTORS.NS,2025-07-04,691.00,692.85,686.35,689.05,-1.95,-0.28,4942900
TATAMOTORS.NS,2025-07-07,689.05,691.95,683.35,688.85,-0.20,-0.03,5428220
TATAMOTORS.NS,2025-07-08,693.00,696.95,687.50,693.20,0.20,0.03,7615926
TATAMOTORS.NS,2025-07-09,688.95,695.50,688.50,692.80,3.85,0.56,5478813
TATAMOTORS.NS,2025-07-10,692.00,696.75,685.00,695.60,3.60,0.52,7733963
TATAMOTORS.NS,2025-07-11,692.95,698.40,677.05,681.80,-11.15,-1.61,8280654
TATAMOTORS.NS,2025-07-14,681.00,681.00,672.00,674.50,-6.50,-0.95,7748550
TATAMOTORS.NS,2025-07-15,676.00,685.95,674.30,684.40,8.40,1.24,7041706
TATAMOTORS.NS,2025-07-16,684.40,684.40,676.35,679.00,-5.40,-0.79,6244205
TATAMOTORS.NS,2025-07-17,679.00,686.90,678.15,681.70,2.70,0.40,6598144
TATAMOTORS.NS,2025-07-18,683.20,686.00,678.00,680.25,-2.95,-0.43,5558670
TATAMOTORS.NS,2025-07-21,680.50,688.50,671.25,687.45,6.95,1.02,6731863
TATAMOTORS.NS,2025-07-22,688.00,688.85,672.35,673.40,-14.60,-2.12,7749518
TATAMOTORS.NS,2025-07-23,676.70,693.10,676.25,690.10,13.40,1.98,14460727
TATAMOTORS.NS,2025-07-24,692.70,706.50,692.30,700.50,7.80,1.13,15197664
