symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-06-02,188.70,201.87,188.19,197.21,8.51,4.51,21615950
APOLLO.NS,2025-06-03,198.00,201.20,191.00,197.89,-0.11,-0.06,11665221
APOLLO.NS,2025-06-04,198.90,206.50,195.21,203.03,4.13,2.08,12978201
APOLLO.NS,2025-06-05,204.60,208.00,196.03,205.98,1.38,0.67,12094583
APOLLO.NS,2025-06-06,207.50,211.43,203.10,204.97,-2.53,-1.22,8801647
APOLLO.NS,2025-06-09,205.99,206.54,197.20,199.30,-6.69,-3.25,6967413
APOLLO.NS,2025-06-10,199.80,203.80,198.51,200.06,0.26,0.13,4283094
APOLLO.NS,2025-06-11,201.10,201.10,186.01,192.13,-8.97,-4.46,11383561
APOLLO.NS,2025-06-12,192.95,194.64,184.10,185.27,-7.68,-3.98,4626392
APOLLO.NS,2025-06-13,180.00,196.25,179.10,194.02,14.02,7.79,11739786
APOLLO.NS,2025-06-16,195.50,197.00,188.21,194.83,-0.67,-0.34,4733842
APOLLO.NS,2025-06-17,195.18,201.70,193.45,201.03,5.85,3.00,7769972
APOLLO.NS,2025-06-18,201.70,202.97,195.20,197.01,-4.69,-2.33,3516541
APOLLO.NS,2025-06-19,196.94,199.49,188.00,189.54,-7.40,-3.76,4230150
APOLLO.NS,2025-06-20,190.00,196.39,187.13,194.55,4.55,2.39,3903217
APOLLO.NS,2025-06-23,194.44,214.00,193.45,214.00,19.56,10.06,17780186
APOLLO.NS,2025-06-24,217.00,221.38,199.00,204.17,-12.83,-5.91,17417861
APOLLO.NS,2025-06-25,205.90,207.44,196.56,197.38,-8.52,-4.14,6908853
APOLLO.NS,2025-06-26,198.95,200.35,194.78,196.76,-2.19,-1.10,4311773
APOLLO.NS,2025-06-27,197.13,198.69,192.15,192.79,-4.34,-2.20,4388534
APOLLO.NS,2025-06-30,193.95,195.50,191.31,192.36,-1.59,-0.82,3434737
ASIANPAINT.NS,2025-06-02,2238.45,2251.53,2237.26,2245.98,7.53,0.34,702789
ASIANPAINT.NS,2025-06-03,2251.82,2266.39,2226.16,2235.08,-16.75,-0.74,792587
ASIANPAINT.NS,2025-06-04,2228.94,2240.33,2220.41,2228.44,-0.50,-0.02,768079
ASIANPAINT.NS,2025-06-05,2230.52,2240.33,2212.59,2222.99,-7.53,-0.34,996614
ASIANPAINT.NS,2025-06-06,2228.54,2232.01,2218.53,2224.67,-3.86,-0.17,822087
ASIANPAINT.NS,2025-06-09,2219.52,2235.18,2215.56,2227.35,7.83,0.35,1041851
ASIANPAINT.NS,2025-06-10,2240.00,2240.00,2215.20,2218.90,-21.10,-0.94,1809051
